ASSERTION	AAMAAQ9DcmVhdGUgbmV3IHVzZXIDAAECAQAAAAAAAGCDQA==
ASSERTION	AAMAAQlHZXQgdXNlcnMDAAECAQAAAAAAAABpQA==
ASSERTION	AAMAAQhHZXQgdXNlcgMAAQIBAAAAAAAAQGVA
ASSERTION	AAMAAQtVcGRhdGUgdXNlcgMAAQIBAAAAAAAAUIRA
ASSERTION	AAECAAMBAAAAAAAAABRA
RUN	simulations.ReqresSimulation	reqressimulation	1606851497087	 	3.4.1
REQUEST		Get user	1606851521881	1606851521935	OK	 
REQUEST		Get users	1606851521947	1606851521965	OK	 
USER	Get users scenario	START	1606851521991
USER	Get users scenario	END	1606851522010
REQUEST		Get user	1606851521992	1606851522054	OK	 
USER	Get users scenario	START	1606851522103
REQUEST		Get users	1606851522089	1606851522113	OK	 
REQUEST		Get user	1606851522103	1606851522170	OK	 
USER	Get users scenario	START	1606851522214
USER	Get users scenario	END	1606851522227
REQUEST		Get users	1606851522234	1606851522251	OK	 
REQUEST		Get user	1606851522214	1606851522266	OK	 
USER	Get users scenario	START	1606851522326
REQUEST		Get user	1606851522326	1606851522377	OK	 
REQUEST		Get users	1606851522375	1606851522393	OK	 
USER	Get users scenario	END	1606851522405
USER	Get users scenario	START	1606851522416
REQUEST		Get user	1606851522416	1606851522461	OK	 
REQUEST		Get users	1606851522486	1606851522504	OK	 
USER	Get users scenario	START	1606851522507
USER	Get users scenario	END	1606851522542
REQUEST		Get user	1606851522507	1606851522558	OK	 
USER	Get users scenario	START	1606851522598
REQUEST		Get users	1606851522597	1606851522625	OK	 
REQUEST		Get user	1606851522598	1606851522644	OK	 
USER	Get users scenario	END	1606851522682
USER	Get users scenario	START	1606851522689
REQUEST		Get user	1606851522689	1606851522733	OK	 
REQUEST		Get users	1606851522714	1606851522736	OK	 
USER	Get users scenario	START	1606851522780
REQUEST		Get user	1606851522780	1606851522827	OK	 
USER	Get users scenario	END	1606851522836
REQUEST		Get users	1606851522829	1606851522846	OK	 
USER	Get users scenario	START	1606851522870
REQUEST		Get user	1606851522870	1606851522920	OK	 
REQUEST		Get users	1606851522936	1606851522957	OK	 
USER	Get users scenario	START	1606851522961
USER	Get users scenario	END	1606851522969
REQUEST		Get user	1606851522962	1606851523037	OK	 
USER	Get users scenario	START	1606851523052
REQUEST		Get users	1606851523040	1606851523058	OK	 
REQUEST		Get user	1606851523053	1606851523103	OK	 
USER	Get users scenario	END	1606851523115
USER	Get users scenario	START	1606851523143
REQUEST		Get users	1606851523153	1606851523180	OK	 
REQUEST		Get user	1606851523144	1606851523200	OK	 
USER	Get users scenario	START	1606851523235
USER	Get users scenario	END	1606851523259
